nomor,word,frekuensi,ln
1767,rela,8,-8.060 
1768,dmna,10,-7.859 
1769,motor,5,-8.465 
1770,masukin,4,-8.648 
1771,sisi,4,-8.648 
1772,isyarat,3,-8.871 
1773,edho,27,-6.925 
1774,feli,28,-6.890 
1775,vino,4,-8.648 
1776,imbang,4,-8.648 
1777,sayur,3,-8.871 
1778,kuat,40,-6.544 
1779,pergi,29,-6.856 
1780,lagu,197,-4.969 
1781,ngedekor,3,-8.871 
1782,cantika,3,-8.871 
1783,nyobain,5,-8.465 
1784,ttep,3,-8.871 
1785,mkanan,4,-8.648 
1786,low,3,-8.871 
1787,ibadah,10,-7.859 
1788,kuota,5,-8.465 
1789,dance,7,-8.178 
1790,farras,3,-8.871 
1791,mahasiswa,5,-8.465 
1792,box,5,-8.465 
1793,tunggu,43,-6.473 
1794,cipta,7,-8.178 
1795,doang,21,-7.166 
1796,bs,17,-7.367 
1797,sukaaaa,4,-8.648 
1798,normal,4,-8.648 
1799,stress,6,-8.311 
1800,bryan,14,-7.549 
1801,michelle,8,-8.060 
1802,netijen,3,-8.871 
1803,well,5,-8.465 
1804,kelak,5,-8.465 
1805,denger,23,-7.079 
1806,guling,6,-8.311 
1807,happy,15,-7.485 
1808,kepala,5,-8.465 
1809,jirayut,3,-8.871 
1810,download,3,-8.871 
1811,tusuk,3,-8.871 
1812,rendah,3,-8.871 
1813,michi,5,-8.465 
1814,skg,4,-8.648 
1815,salut,25,-6.999 
1816,makeup,9,-7.955 
1817,orng,6,-8.311 
1818,kedikit,6,-8.311 
1819,bakti,3,-8.871 
1820,kakau,10,-7.859 
1821,nyanyiin,13,-7.618 
1822,tipsnya,4,-8.648 
1823,dpet,4,-8.648 
1824,senang,21,-7.166 
1825,terima,17,-7.367 
1826,sule,49,-6.345 
1827,pke,13,-7.618 
1828,serius,4,-8.648 
1829,gws,3,-8.871 
1830,kawin,6,-8.311 
1831,warga,4,-8.648 
1832,maxime,48,-6.365 
1833,keluar,19,-7.261 
1834,sukak,7,-8.178 
1835,akur,4,-8.648 
1836,langgeng,36,-6.646 
1837,tdk,16,-7.424 
1838,risky,3,-8.871 
1839,cecepy,5,-8.465 
1840,bayang,8,-8.060 
1841,subscriber,19,-7.261 
1842,kaki,13,-7.618 
1843,mantapp,3,-8.871 
1844,cabe,8,-8.060 
1845,utama,7,-8.178 
1846,dehh,6,-8.311 
1847,laut,4,-8.648 
1848,give,6,-8.311 
1849,peach,3,-8.871 
1850,rice,17,-7.367 
1851,lngsung,3,-8.871 
1852,unik,3,-8.871 
1853,black,19,-7.261 
1854,aplikasi,4,-8.648 
1855,cover,10,-7.859 
1856,ngulang,6,-8.311 
1857,capten,9,-7.955 
1858,pen,4,-8.648 
1859,fan,3,-8.871 
1860,tega,3,-8.871 
1861,humor,3,-8.871 
1862,mic,3,-8.871 
1863,kontol,3,-8.871 
1864,mampus,5,-8.465 
1865,kuku,4,-8.648 
1866,cape,3,-8.871 
1867,kangen,100,-5.642 
1868,nyangka,6,-8.311 
1869,blakpink,4,-8.648 
1870,rahasia,5,-8.465 
1871,luck,5,-8.465 
1872,mol,4,-8.648 
1873,akrab,5,-8.465 
1874,ratu,9,-7.955 
1875,papua,5,-8.465 
1876,hard,5,-8.465 
1877,lampung,4,-8.648 
1878,itte,10,-7.859 
1879,wkwkwkwkwk,4,-8.648 
1880,www,9,-7.955 
1881,kemaren,7,-8.178 
1882,cici,5,-8.465 
1883,case,4,-8.648 
1884,jomblo,11,-7.772 
1885,body,3,-8.871 
1886,sya,10,-7.859 
1887,kalimantan,3,-8.871 
1888,hemat,8,-8.060 
1889,thailand,27,-6.925 
1890,cantikk,6,-8.311 
1891,julifer,3,-8.871 
1892,gilaaa,4,-8.648 
1893,deket,19,-7.261 
1894,melulu,4,-8.648 
1895,anyway,3,-8.871 
1896,saung,3,-8.871 
1897,negeri,18,-7.313 
1898,dalem,3,-8.871 
1899,mimpi,15,-7.485 
1900,panggil,4,-8.648 
