nomor,word,frekuensi,ln
1530,sate,3,-8.804024902413179
1531,back,9,-7.887734170539025
1532,gx,3,-8.804024902413179
1533,smaa,4,-8.58088135109897
1534,pdhl,3,-8.804024902413179
1535,pokoke,3,-8.804024902413179
1536,humble,7,-8.110877721853234
1537,babas,20,-7.145796825809647
1538,bulan,42,-6.429119147839508
1539,squishi,3,-8.804024902413179
1540,apload,3,-8.804024902413179
1541,liat,299,-4.486536788876869
1542,tegang,12,-7.625369906071533
1543,regina,16,-7.3571059194768536
1544,pintar,23,-7.012265433185124
1545,nyetir,4,-8.58088135109897
1546,bahak,4,-8.58088135109897
1547,bnget,34,-6.634971202043657
1548,cek,15,-7.417730541293289
1549,jogja,10,-7.7924239907347
1550,qur,11,-7.70541261374507
1551,nyah,4,-8.58088135109897
1552,jiso,4,-8.58088135109897
1553,pengantin,3,-8.804024902413179
1554,keliling,8,-7.993094686196851
1555,otak,3,-8.804024902413179
1556,tertawa,5,-8.398559794305015
1557,uya,5,-8.398559794305015
1558,pendek,19,-7.194586989979079
1559,subscribe,46,-6.340171661823011
1560,abal,3,-8.804024902413179
1561,serba,5,-8.398559794305015
1562,senyum,39,-6.501439809419134
1563,request,8,-7.993094686196851
1564,liur,8,-7.993094686196851
1565,bp,5,-8.398559794305015
1566,nenek,3,-8.804024902413179
1567,aneh,9,-7.887734170539025
1568,adem,11,-7.70541261374507
1569,kalung,3,-8.804024902413179
1570,world,3,-8.804024902413179
1571,sndiri,4,-8.58088135109897
1572,heboh,6,-8.244409114477756
1573,selamat,54,-6.182986078300599
1574,youtubers,5,-8.398559794305015
1575,heran,3,-8.804024902413179
1576,food,4,-8.58088135109897
1577,lelaki,3,-8.804024902413179
1578,kacang,4,-8.58088135109897
1579,negri,8,-7.993094686196851
1580,watching,4,-8.58088135109897
1581,cerdas,5,-8.398559794305015
1582,blink,3,-8.804024902413179
1583,nyusul,35,-6.60680032507696
1584,samyang,39,-6.501439809419134
1585,andre,3,-8.804024902413179
1586,inggris,7,-8.110877721853234
1587,papao,3,-8.804024902413179
1588,aceh,3,-8.804024902413179
1589,kasir,6,-8.244409114477756
1590,ngasih,7,-8.110877721853234
1591,stay,7,-8.110877721853234
1592,itaewon,6,-8.244409114477756
1593,akuuu,4,-8.58088135109897
1594,basket,3,-8.804024902413179
