nomor,word,frekuensi,ln
693,trus,46,-5.546
694,subscribe,33,-5.870
695,wisata,7,-7.317
696,sukses,96,-4.821
697,tempat,40,-5.683
698,vlog,137,-4.469
699,saudara,6,-7.450
700,mampir,18,-6.452
701,manfaat,15,-6.623
702,makasih,50,-5.464
703,nonton,77,-5.039
704,dingin,6,-7.450
705,adem,6,-7.450
706,lihat,34,-5.841
707,hati,28,-6.029
708,rasa,18,-6.452
709,hidup,8,-7.199
710,susah,18,-6.452
711,acara,9,-7.093
712,indah,14,-6.688
713,suara,41,-5.658
714,selamat,8,-7.199
715,murah,17,-6.506
716,tuhan,10,-6.998
717,kasih,37,-5.758
718,balas,5,-7.604
719,baik,31,-5.930
720,badan,13,-6.757
721,produk,16,-6.563
722,keren,60,-5.285
723,coba,51,-5.445
724,bentuk,5,-7.604
725,rumah,41,-5.658
726,dunia,10,-6.998
727,tonton,12,-6.831
728,barang,6,-7.450
729,bikin,176,-4.220
730,giat,4,-7.787
731,awet,8,-7.199
732,kirain,9,-7.093
733,film,9,-7.093
